,Chipotle,Memos Mexican Food Restaurant,U:Don Fresh Japanese Noodle Station,Costa's Restaurant,Thai Tom,Palmi Korean BBQ,Chi Mac,Taste of Xi'an,Just Burgers,Korean Tofu House,Shawarma King,Pho Shizzle
Participant 1,6,11,1,12,4,7,5,3,8,2,9,10
Participant 2,2,6,3,7,10,8,5,1,12,4,9,11
Participant 3,11,12,5,8,9,10,6,1,3,2,4,7
Participant 4,1,11,10,9,3,7,12,6,8,2,5,4
Participant 5,7,1,5,8,4,2,6,10,12,3,9,11
Participant 6,1,8,2,9,3,10,4,5,6,11,12,7
Participant 7,10,1,7,6,3,8,2,4,9,5,11,12
Participant 8,9,7,4,8,1,3,5,6,10,2,11,12
Participant 9,4,11,12,10,6,7,2,1,5,3,9,8
Participant 10,5,10,6,4,2,11,9,7,3,12,8,1
Participant 11,4,11,8,7,1,12,10,9,2,6,5,3
