,Chipotle,Memos Mexican Food Restaurant,U:Don Fresh Japanese Noodle Station,Costa's Restaurant,Thai Tom,Palmi Korean BBQ,Chi Mac,Taste of Xi'an,Just Burgers,Korean Tofu House,Shawarma King,Pho Shizzle
Participant 1,6,11,1,12,2,7,5,3,8,4,9,10
Participant 2,1,7,6,10,8,11,9,2,12,4,5,3
Participant 3,10,7,12,11,8,9,6,1,5,2,3,4
Participant 4,1,3,4,5,6,7,8,9,10,2,11,12
Participant 5,11,1,10,6,8,3,4,7,12,2,9,5
Participant 6,6,4,5,8,7,9,1,2,10,3,12,11
Participant 7,12,6,7,5,2,10,3,4,11,1,8,9
Participant 8,11,9,5,6,1,3,4,12,8,2,7,10
Participant 9,3,11,12,10,6,9,2,1,4,5,8,7
Participant 10,4,10,5,8,2,11,9,6,3,12,7,1
Participant 11,4,8,12,5,1,11,10,6,3,7,9,2
