,Chipotle,Memos Mexican Food Restaurant,U:Don Fresh Japanese Noodle Station,Costa's Restaurant,Thai Tom,Palmi Korean BBQ,Chi Mac,Taste of Xi'an,Just Burgers,Korean Tofu House,Shawarma King,Pho Shizzle
Participant 1,8,7,5,10,12,3,4,1,9,2,11,6
Participant 2,4,9,9,8,2,5,7,1,12,9,2,6
Participant 3,6,7,2,3,10,4,5,8,9,1,12,11
Participant 4,1,3,4,5,6,7,8,9,10,2,11,12
Participant 5,7,1,4,2,9,10,11,3,12,5,8,6
Participant 6,1,2,1,2,1,2,1,1,1,2,2,1
Participant 7,12,6,10,8,4,5,2,3,7,1,9,11
Participant 8,5,1,4,3,6,11,7,2,10,12,8,9
Participant 9,2,5,12,6,8,3,7,1,4,9,11,10
Participant 10,5,12,3,1,7,9,8,6,4,10,11,2
Participant 11,2,1,6,3,12,11,10,9,5,8,7,4
